idpackets_db,STX,length,"Sequence Number",Direct,CMD,"Sensor ID","Sensor Number",Data,Checksum,ETX,Time
11631,33,0052,9f,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32373a30375d2053656e736f722044617461205265706f72742049445b307832355d204e756d5b3078315d204757204261745b3130305d,58,55,"12/03/2022, 19:24:24.376371"
11632,33,0072,a0,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a31315d20526563762042696f20446174612050445b315d204143545b395d2042525b31395d2048525b37395d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,23,55,"12/03/2022, 19:24:24.569286"
11633,33,0072,a1,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a31365d20526563762042696f20446174612050445b315d204143545b325d2042525b31375d2048525b37395d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,20,55,"12/03/2022, 19:24:29.394484"
11634,33,0074,a2,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a32315d20526563762042696f20446174612050445b315d204143545b385d2042525b31395d2048525b35365d20585b3235355d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,8e,55,"12/03/2022, 19:24:34.426473"
11635,33,0072,a3,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a32365d20526563762042696f20446174612050445b315d204143545b325d2042525b32365d2048525b35365d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,1e,55,"12/03/2022, 19:24:39.453067"
11636,33,0072,a4,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a33315d20526563762042696f20446174612050445b315d204143545b335d2042525b32335d2048525b36305d20585b305d20595b375d204261745b3130305d20436f6d5b305d20525353495b2d31305d,15,55,"12/03/2022, 19:24:44.378372"
11637,33,0072,a5,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a33365d20526563762042696f20446174612050445b315d204143545b385d2042525b32315d2048525b35365d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,22,55,"12/03/2022, 19:24:49.397811"
11638,33,0072,a6,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a34315d20526563762042696f20446174612050445b315d204143545b345d2042525b32315d2048525b35365d20585b305d20595b385d204261745b3130305d20436f6d5b305d20525353495b2d31305d,1d,55,"12/03/2022, 19:24:54.428381"
11639,33,0072,a7,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a34365d20526563762042696f20446174612050445b315d204143545b395d2042525b32315d2048525b35365d20585b305d20595b375d204261745b3130305d20436f6d5b305d20525353495b2d31305d,27,55,"12/03/2022, 19:24:59.454839"
11640,33,0072,a8,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a35315d20526563762042696f20446174612050445b315d204143545b385d2042525b32365d2048525b35365d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,27,55,"12/03/2022, 19:25:04.379755"
11641,33,0074,a9,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a35365d20526563762042696f20446174612050445b315d204143545b385d2042525b32345d2048525b35365d20585b3235355d20595b355d204261745b3130305d20436f6d5b305d20525353495b2d31305d,98,55,"12/03/2022, 19:25:09.399071"
11642,33,005b,aa,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a30315d20526561642054656d7020446174612054656d705b32352e3527435d204261745b3130305d20436f6d5b305d20525353495b2d31305d,1b,55,"12/03/2022, 19:25:13.928172"
11643,33,0058,ab,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a30315d20526561642048756d20446174612048756d5b33392e34255d204261745b3130305d20436f6d5b305d20525353495b2d31305d,00,55,"12/03/2022, 19:25:14.121240"
11644,33,0036,ac,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32383a30315d20203d3d3d3e2041444320417665725b323538385d,3b,55,"12/03/2022, 19:25:14.314528"
11645,33,0072,ad,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a30315d20526563762042696f20446174612050445b315d204143545b335d2042525b32325d2048525b35365d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,1f,55,"12/03/2022, 19:25:14.507430"
11646,33,006f,ae,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32383a30345d2052656376204b4120504952205b325d204261745b3230305d2053656e73696e6720506572696f645b31343430305d205265706f727420506572696f645b31343430305d20525353495b2d33325d,b7,55,"12/03/2022, 19:25:17.046407"
